district,y,m,pop
Rab Dhuure,2015,4,58145
Saakow,2015,4,110292
Sablaale,2015,4,60774
Sheikh,2015,4,78317
Taleex,2015,4,77366
Tayeeglow,2015,4,94666
Waajid,2015,4,91399
Wanla Weyn,2015,4,215909
Xarardheere,2015,4,83472
Xudun,2015,4,65872
Xudur,2015,4,122571
Zeylac,2015,4,62177
Adan Yabaal,2015,5,80676
Afgooye,2015,5,400498
Afmadow,2015,5,160445
Baardheere,2015,5,155958
Badhaadhe,2015,5,74013
Baki,2015,5,64607
Balcad,2015,5,191917
Banadir,2015,5,1702819
Bandarbeyla,2015,5,30195
Baraawe,2015,5,86150
Baydhaba,2015,5,399741
Belet Weyne,2015,5,260118
Belet Xaawo,2015,5,84600
Berbera,2015,5,149583
Borama,2015,5,690069
Bossaso,2015,5,383250
Bu'aale,2015,5,94510
Bulo Burto,2015,5,157963
Burco,2015,5,434594
Burtinle,2015,5,81250
Buuhoodle,2015,5,65279
Buur Hakaba,2015,5,151811
Cabudwaaq,2015,5,92787
Cadaado,2015,5,86765
Cadale,2015,5,70732
Caluula,2015,5,49373
Caynabo,2015,5,73746
Ceel Afweyn,2015,5,86933
Ceel Barde,2015,5,55339
Ceel Buur,2015,5,102148
Ceel Dheer,2015,5,102646
Ceel Waaq,2015,5,48619
Ceerigaabo,2015,5,209563
Dhuusamarreeb,2015,5,127957
Diinsoor,2015,5,140220
Doolow,2015,5,53033
Eyl,2015,5,79149
Gaalkacyo,2015,5,385685
Galdogob,2015,5,160209
Garbahaarey,2015,5,120075
Garoowe,2015,5,188287
Gebiley,2015,5,135485
Hargeysa,2015,5,1032777
Hobyo,2015,5,98396
Iskushuban,2015,5,74198
Jalalaqsi,2015,5,87792
Jamaame,2015,5,153909
Jariiban,2015,5,93004
Jilib,2015,5,154937
Jowhar,2015,5,306236
Kismaayo,2015,5,174761
Kurtunwaarey,2015,5,205817
Laas Caanood,2015,5,154731
Laasqoray,2015,5,192744
Lughaye,2015,5,69444
Luuq,2015,5,89564
Marka,2015,5,366613
Owdweyne,2015,5,88491
Qandala,2015,5,136600
Qansax Dheere,2015,5,116531
Qardho,2015,5,166360
Qoryooley,2015,5,268500
Rab Dhuure,2015,5,58240
Saakow,2015,5,110473
Sablaale,2015,5,60874
Sheikh,2015,5,78445
Taleex,2015,5,77493
Tayeeglow,2015,5,94820
Waajid,2015,5,91548
Wanla Weyn,2015,5,216262
Xarardheere,2015,5,83608
Xudun,2015,5,65980
Xudur,2015,5,122771
Zeylac,2015,5,62279
Adan Yabaal,2015,6,80807
Afgooye,2015,6,401284
Afmadow,2015,6,160708
Baardheere,2015,6,156213
Badhaadhe,2015,6,74134
Baki,2015,6,64713
Balcad,2015,6,192230
Banadir,2015,6,1709111
Bandarbeyla,2015,6,30244
Baraawe,2015,6,86291
Baydhaba,2015,6,401214
Belet Weyne,2015,6,260543
Belet Xaawo,2015,6,84738
Berbera,2015,6,149827
Borama,2015,6,691196
Bossaso,2015,6,384272
Bu'aale,2015,6,94664
Bulo Burto,2015,6,158221
Burco,2015,6,435304
Burtinle,2015,6,81382
Buuhoodle,2015,6,65386
Buur Hakaba,2015,6,152059
Cabudwaaq,2015,6,92938
Cadaado,2015,6,86907
Cadale,2015,6,70847
Caluula,2015,6,49454
Caynabo,2015,6,73867
Ceel Afweyn,2015,6,87075
Ceel Barde,2015,6,55429
Ceel Buur,2015,6,102315
Ceel Dheer,2015,6,102813
Ceel Waaq,2015,6,48698
Ceerigaabo,2015,6,209906
Dhuusamarreeb,2015,6,128167
Diinsoor,2015,6,140450
Doolow,2015,6,53120
Eyl,2015,6,79278
Gaalkacyo,2015,6,386315
Galdogob,2015,6,160470
Garbahaarey,2015,6,120272
Garoowe,2015,6,188595
Gebiley,2015,6,135707
Hargeysa,2015,6,1034794
Hobyo,2015,6,98557
Iskushuban,2015,6,74319
Jalalaqsi,2015,6,87935
Jamaame,2015,6,154160
Jariiban,2015,6,93156
Jilib,2015,6,155190
Jowhar,2015,6,306736
Kismaayo,2015,6,175959
Kurtunwaarey,2015,6,206153
Laas Caanood,2015,6,154983
Laasqoray,2015,6,193058
Lughaye,2015,6,69558
Luuq,2015,6,89714
Marka,2015,6,367211
Owdweyne,2015,6,88636
Qandala,2015,6,136823
Qansax Dheere,2015,6,116722
Qardho,2015,6,166632
Qoryooley,2015,6,268938
Rab Dhuure,2015,6,58335
Saakow,2015,6,110653
Sablaale,2015,6,60973
Sheikh,2015,6,78573
Taleex,2015,6,77619
Tayeeglow,2015,6,94975
Waajid,2015,6,91698
Wanla Weyn,2015,6,216615
Xarardheere,2015,6,83744
Xudun,2015,6,66088
Xudur,2015,6,122972
Zeylac,2015,6,62381
Adan Yabaal,2015,7,80939
Afgooye,2015,7,402084
Afmadow,2015,7,160971
Baardheere,2015,7,156468
Badhaadhe,2015,7,74255
Baki,2015,7,64818
Balcad,2015,7,192545
Banadir,2015,7,1715742
Bandarbeyla,2015,7,30294
Baraawe,2015,7,86432
Baydhaba,2015,7,402917
Belet Weyne,2015,7,260969
Belet Xaawo,2015,7,84877
Berbera,2015,7,150072
Borama,2015,7,692325
Bossaso,2015,7,385334
Bu'aale,2015,7,94819
Bulo Burto,2015,7,158480
Burco,2015,7,436015
Burtinle,2015,7,81516
Buuhoodle,2015,7,65493
Buur Hakaba,2015,7,152307
Cabudwaaq,2015,7,93090
Cadaado,2015,7,87048
Cadale,2015,7,70963
Caluula,2015,7,49534
Caynabo,2015,7,73987
Ceel Afweyn,2015,7,87217
Ceel Barde,2015,7,55520
Ceel Buur,2015,7,102482
Ceel Dheer,2015,7,102981
Ceel Waaq,2015,7,48778
Ceerigaabo,2015,7,210248
Dhuusamarreeb,2015,7,128376
Diinsoor,2015,7,140679
Doolow,2015,7,53207
Eyl,2015,7,79408
Gaalkacyo,2015,7,386946
Galdogob,2015,7,160733
Garbahaarey,2015,7,120468
Garoowe,2015,7,188903
Gebiley,2015,7,135929
Hargeysa,2015,7,1036846
Hobyo,2015,7,98718
Iskushuban,2015,7,74441
Jalalaqsi,2015,7,88079
Jamaame,2015,7,154412
Jariiban,2015,7,93308
Jilib,2015,7,155443
Jowhar,2015,7,307237
Kismaayo,2015,7,177144
Kurtunwaarey,2015,7,206490
Laas Caanood,2015,7,155237
Laasqoray,2015,7,193374
Lughaye,2015,7,69671
Luuq,2015,7,89865
Marka,2015,7,367811
Owdweyne,2015,7,88780
Qandala,2015,7,137046
Qansax Dheere,2015,7,116912
Qardho,2015,7,166904
Qoryooley,2015,7,269377
Rab Dhuure,2015,7,58430
Saakow,2015,7,110834
Sablaale,2015,7,61072
Sheikh,2015,7,78701
Taleex,2015,7,77746
Tayeeglow,2015,7,95130
Waajid,2015,7,91847
Wanla Weyn,2015,7,216969
Xarardheere,2015,7,83881
Xudun,2015,7,66196
Xudur,2015,7,123173
Zeylac,2015,7,62482
Adan Yabaal,2015,8,81072
Afgooye,2015,8,402824
Afmadow,2015,8,161235
Baardheere,2015,8,156723
Badhaadhe,2015,8,74376
Baki,2015,8,64924
Balcad,2015,8,192859
Banadir,2015,8,1720770
Bandarbeyla,2015,8,30343
Baraawe,2015,8,86573
Baydhaba,2015,8,403929
Belet Weyne,2015,8,261395
Belet Xaawo,2015,8,85015
Berbera,2015,8,150318
Borama,2015,8,693455
Bossaso,2015,8,386214
Bu'aale,2015,8,94974
Bulo Burto,2015,8,158739
Burco,2015,8,436727
Burtinle,2015,8,81649
Buuhoodle,2015,8,65600
Buur Hakaba,2015,8,152556
Cabudwaaq,2015,8,93243
Cadaado,2015,8,87191
Cadale,2015,8,71079
Caluula,2015,8,49615
Caynabo,2015,8,74108
Ceel Afweyn,2015,8,87359
Ceel Barde,2015,8,55610
Ceel Buur,2015,8,102650
Ceel Dheer,2015,8,103149
Ceel Waaq,2015,8,48858
Ceerigaabo,2015,8,210592
Dhuusamarreeb,2015,8,128586
Diinsoor,2015,8,140909
Doolow,2015,8,53294
Eyl,2015,8,79538
Gaalkacyo,2015,8,387578
Galdogob,2015,8,160995
Garbahaarey,2015,8,120665
Garoowe,2015,8,189212
Gebiley,2015,8,136151
Hargeysa,2015,8,1038748
Hobyo,2015,8,98879
Iskushuban,2015,8,74562
Jalalaqsi,2015,8,88223
Jamaame,2015,8,154664
Jariiban,2015,8,93460
Jilib,2015,8,155697
Jowhar,2015,8,307739
Kismaayo,2015,8,178038
Kurtunwaarey,2015,8,206827
Laas Caanood,2015,8,155490
Laasqoray,2015,8,193690
Lughaye,2015,8,69785
Luuq,2015,8,90014
Marka,2015,8,368412
Owdweyne,2015,8,88926
Qandala,2015,8,137270
Qansax Dheere,2015,8,117103
Qardho,2015,8,167177
Qoryooley,2015,8,269817
Rab Dhuure,2015,8,58526
Saakow,2015,8,111015
Sablaale,2015,8,61172
Sheikh,2015,8,78830
Taleex,2015,8,77873
Tayeeglow,2015,8,95286
Waajid,2015,8,91997
Wanla Weyn,2015,8,217323
Xarardheere,2015,8,84018
Xudun,2015,8,66304
Xudur,2015,8,123374
Zeylac,2015,8,62584
Adan Yabaal,2015,9,81204
Afgooye,2015,9,403489
Afmadow,2015,9,161499
Baardheere,2015,9,156979
Badhaadhe,2015,9,74497
Baki,2015,9,65030
Balcad,2015,9,193174
Banadir,2015,9,1723780
Bandarbeyla,2015,9,30393
Baraawe,2015,9,86714
Baydhaba,2015,9,404639
Belet Weyne,2015,9,261822
Belet Xaawo,2015,9,85154
Berbera,2015,9,150563
Borama,2015,9,694588
Bossaso,2015,9,386865
Bu'aale,2015,9,95129
Bulo Burto,2015,9,158998
Burco,2015,9,437440
Burtinle,2015,9,81782
Buuhoodle,2015,9,65707
Buur Hakaba,2015,9,152805
Cabudwaaq,2015,9,93395
Cadaado,2015,9,87333
Cadale,2015,9,71195
Caluula,2015,9,49696
Caynabo,2015,9,74229
Ceel Afweyn,2015,9,87502
Ceel Barde,2015,9,55701
Ceel Buur,2015,9,102817
Ceel Dheer,2015,9,103318
Ceel Waaq,2015,9,48937
Ceerigaabo,2015,9,210936
Dhuusamarreeb,2015,9,128796
Diinsoor,2015,9,141139
Doolow,2015,9,53381
Eyl,2015,9,79667
Gaalkacyo,2015,9,388211
Galdogob,2015,9,161258
Garbahaarey,2015,9,120862
Garoowe,2015,9,189520
Gebiley,2015,9,136373
Hargeysa,2015,9,1040462
Hobyo,2015,9,99041
Iskushuban,2015,9,74684
Jalalaqsi,2015,9,88367
Jamaame,2015,9,154917
Jariiban,2015,9,93613
Jilib,2015,9,155952
Jowhar,2015,9,308242
Kismaayo,2015,9,178556
Kurtunwaarey,2015,9,207165
Laas Caanood,2015,9,155744
Laasqoray,2015,9,194006
Lughaye,2015,9,69899
Luuq,2015,9,90162
Marka,2015,9,369014
Owdweyne,2015,9,89071
Qandala,2015,9,137494
Qansax Dheere,2015,9,117294
Qardho,2015,9,167450
Qoryooley,2015,9,270258
Rab Dhuure,2015,9,58621
Saakow,2015,9,111196
Sablaale,2015,9,61272
Sheikh,2015,9,78958
Taleex,2015,9,78000
Tayeeglow,2015,9,95441
Waajid,2015,9,92148
Wanla Weyn,2015,9,217678
Xarardheere,2015,9,84156
Xudun,2015,9,66412
Xudur,2015,9,123575
Zeylac,2015,9,62687
Adan Yabaal,2015,10,81336
Afgooye,2015,10,404153
Afmadow,2015,10,161762
Baardheere,2015,10,157236
Badhaadhe,2015,10,74619
Baki,2015,10,65136
Balcad,2015,10,193489
Banadir,2015,10,1726734
Bandarbeyla,2015,10,30443
Baraawe,2015,10,86856
Baydhaba,2015,10,405332
Belet Weyne,2015,10,262249
Belet Xaawo,2015,10,85293
Berbera,2015,10,150809
Borama,2015,10,695722
Bossaso,2015,10,387511
Bu'aale,2015,10,95284
Bulo Burto,2015,10,159258
Burco,2015,10,438155
Burtinle,2015,10,81915
Buuhoodle,2015,10,65814
Buur Hakaba,2015,10,153054
Cabudwaaq,2015,10,93547
Cadaado,2015,10,87476
Cadale,2015,10,71311
Caluula,2015,10,49777
Caynabo,2015,10,74350
Ceel Afweyn,2015,10,87645
Ceel Barde,2015,10,55792
Ceel Buur,2015,10,102985
Ceel Dheer,2015,10,103487
Ceel Waaq,2015,10,49017
Ceerigaabo,2015,10,211281
Dhuusamarreeb,2015,10,129006
Diinsoor,2015,10,141370
Doolow,2015,10,53468
Eyl,2015,10,79798
Gaalkacyo,2015,10,388845
Galdogob,2015,10,161521
Garbahaarey,2015,10,121059
Garoowe,2015,10,189830
Gebiley,2015,10,136596
Hargeysa,2015,10,1042173
Hobyo,2015,10,99203
Iskushuban,2015,10,74806
Jalalaqsi,2015,10,88512
Jamaame,2015,10,155170
Jariiban,2015,10,93766
Jilib,2015,10,156206
Jowhar,2015,10,308745
Kismaayo,2015,10,179013
Kurtunwaarey,2015,10,207503
Laas Caanood,2015,10,155998
Laasqoray,2015,10,194323
Lughaye,2015,10,70013
Luuq,2015,10,90311
Marka,2015,10,369616
Owdweyne,2015,10,89216
Qandala,2015,10,137719
Qansax Dheere,2015,10,117486
Qardho,2015,10,167723
Qoryooley,2015,10,270699
Rab Dhuure,2015,10,58717
Saakow,2015,10,111378
Sablaale,2015,10,61372
Sheikh,2015,10,79087
Taleex,2015,10,78127
Tayeeglow,2015,10,95597
Waajid,2015,10,92298
Wanla Weyn,2015,10,218034
Xarardheere,2015,10,84293
Xudun,2015,10,66521
Xudur,2015,10,123777
Zeylac,2015,10,62789
Adan Yabaal,2015,11,81469
Afgooye,2015,11,404816
Afmadow,2015,11,162027
Baardheere,2015,11,157492
Badhaadhe,2015,11,74741
Baki,2015,11,65243
Balcad,2015,11,193806
Banadir,2015,11,1729637
Bandarbeyla,2015,11,30492
Baraawe,2015,11,86998
Baydhaba,2015,11,406014
Belet Weyne,2015,11,262678
Belet Xaawo,2015,11,85432
Berbera,2015,11,151055
Borama,2015,11,696859
Bossaso,2015,11,388152
Bu'aale,2015,11,95440
Bulo Burto,2015,11,159518
Burco,2015,11,438871
Burtinle,2015,11,82050
Buuhoodle,2015,11,65921
Buur Hakaba,2015,11,153304
Cabudwaaq,2015,11,93700
Cadaado,2015,11,87619
Cadale,2015,11,71428
Caluula,2015,11,49859
Caynabo,2015,11,74472
Ceel Afweyn,2015,11,87788
Ceel Barde,2015,11,55883
Ceel Buur,2015,11,103153
Ceel Dheer,2015,11,103656
Ceel Waaq,2015,11,49097
Ceerigaabo,2015,11,211626
Dhuusamarreeb,2015,11,129217
Diinsoor,2015,11,141600
Doolow,2015,11,53555
Eyl,2015,11,79928
Gaalkacyo,2015,11,389480
Galdogob,2015,11,161785
Garbahaarey,2015,11,121257
Garoowe,2015,11,190140
Gebiley,2015,11,136819
Hargeysa,2015,11,1043881
Hobyo,2015,11,99365
Iskushuban,2015,11,74928
Jalalaqsi,2015,11,88656
Jamaame,2015,11,155423
Jariiban,2015,11,93919
Jilib,2015,11,156461
Jowhar,2015,11,309249
Kismaayo,2015,11,179429
Kurtunwaarey,2015,11,207843
Laas Caanood,2015,11,156254
Laasqoray,2015,11,194640
Lughaye,2015,11,70128
Luuq,2015,11,90459
Marka,2015,11,370220
Owdweyne,2015,11,89362
Qandala,2015,11,137944
Qansax Dheere,2015,11,117678
Qardho,2015,11,167997
Qoryooley,2015,11,271142
Rab Dhuure,2015,11,58813
Saakow,2015,11,111559
Sablaale,2015,11,61473
Sheikh,2015,11,79217
Taleex,2015,11,78255
Tayeeglow,2015,11,95753
Waajid,2015,11,92449
Wanla Weyn,2015,11,218390
Xarardheere,2015,11,84431
Xudun,2015,11,66629
Xudur,2015,11,123979
Zeylac,2015,11,62892
Adan Yabaal,2015,12,81603
Afgooye,2015,12,405480
Afmadow,2015,12,162291
Baardheere,2015,12,157750
Badhaadhe,2015,12,74863
Baki,2015,12,65349
Balcad,2015,12,194122
Banadir,2015,12,1732568
Bandarbeyla,2015,12,30542
Baraawe,2015,12,87140
Baydhaba,2015,12,406708
Belet Weyne,2015,12,263107
Belet Xaawo,2015,12,85572
Berbera,2015,12,151302
Borama,2015,12,697997
Bossaso,2015,12,388797
Bu'aale,2015,12,95596
Bulo Burto,2015,12,159778
Burco,2015,12,439587
Burtinle,2015,12,82184
Buuhoodle,2015,12,66029
Buur Hakaba,2015,12,153555
Cabudwaaq,2015,12,93853
Cadaado,2015,12,87762
Cadale,2015,12,71544
Caluula,2015,12,49940
Caynabo,2015,12,74593
Ceel Afweyn,2015,12,87931
Ceel Barde,2015,12,55975
Ceel Buur,2015,12,103322
Ceel Dheer,2015,12,103825
Ceel Waaq,2015,12,49177
Ceerigaabo,2015,12,211971
Dhuusamarreeb,2015,12,129428
Diinsoor,2015,12,141832
Doolow,2015,12,53643
Eyl,2015,12,80059
Gaalkacyo,2015,12,390117
Galdogob,2015,12,162050
Garbahaarey,2015,12,121455
Garoowe,2015,12,190451
Gebiley,2015,12,137042
Hargeysa,2015,12,1045596
Hobyo,2015,12,99527
Iskushuban,2015,12,75050
Jalalaqsi,2015,12,88801
Jamaame,2015,12,155677
Jariiban,2015,12,94072
Jilib,2015,12,156717
Jowhar,2015,12,309754
Kismaayo,2015,12,179831
Kurtunwaarey,2015,12,208182
Laas Caanood,2015,12,156509
Laasqoray,2015,12,194958
Lughaye,2015,12,70242
Luuq,2015,12,90607
Marka,2015,12,370825
Owdweyne,2015,12,89508
Qandala,2015,12,138169
Qansax Dheere,2015,12,117870
Qardho,2015,12,168272
Qoryooley,2015,12,271584
Rab Dhuure,2015,12,58909
Saakow,2015,12,111742
Sablaale,2015,12,61573
Sheikh,2015,12,79346
Taleex,2015,12,78383
Tayeeglow,2015,12,95910
Waajid,2015,12,92600
Wanla Weyn,2015,12,218747
Xarardheere,2015,12,84569
Xudun,2015,12,66738
Xudur,2015,12,124182
Zeylac,2015,12,62994
Adan Yabaal,2016,1,81736
Afgooye,2016,1,406159
Afmadow,2016,1,162559
Baardheere,2016,1,158852
Badhaadhe,2016,1,74985
Baki,2016,1,65456
Balcad,2016,1,194433
Banadir,2016,1,1739269
Bandarbeyla,2016,1,30592
Baraawe,2016,1,87212
Baydhaba,2016,1,407666
Belet Weyne,2016,1,263507
Belet Xaawo,2016,1,86824
Berbera,2016,1,151603
Borama,2016,1,699223
Bossaso,2016,1,389440
Bu'aale,2016,1,95878
Bulo Burto,2016,1,160036
Burco,2016,1,440302
Burtinle,2016,1,82314
Buuhoodle,2016,1,66503
Buur Hakaba,2016,1,153806
Cabudwaaq,2016,1,93860
Cadaado,2016,1,87808
Cadale,2016,1,71658
Caluula,2016,1,50022
Caynabo,2016,1,74711
Ceel Afweyn,2016,1,88070
Ceel Barde,2016,1,56066
Ceel Buur,2016,1,103488
Ceel Dheer,2016,1,103983
Ceel Waaq,2016,1,49770
Ceerigaabo,2016,1,212317
Dhuusamarreeb,2016,1,129777
Diinsoor,2016,1,141962
Doolow,2016,1,53730
Eyl,2016,1,80189
Gaalkacyo,2016,1,393561
Galdogob,2016,1,162310
Garbahaarey,2016,1,122856
Garoowe,2016,1,190737
Gebiley,2016,1,137262
Hargeysa,2016,1,1047578
Hobyo,2016,1,98539
Iskushuban,2016,1,75173
Jalalaqsi,2016,1,88935
Jamaame,2016,1,155926
Jariiban,2016,1,94226
Jilib,2016,1,157132
Jowhar,2016,1,310260
Kismaayo,2016,1,182845
Kurtunwaarey,2016,1,208519
Laas Caanood,2016,1,156764
Laasqoray,2016,1,195273
Lughaye,2016,1,70357
Luuq,2016,1,90777
Marka,2016,1,371190
Owdweyne,2016,1,89654
Qandala,2016,1,138395
Qansax Dheere,2016,1,118033
Qardho,2016,1,168601
Qoryooley,2016,1,271990
Rab Dhuure,2016,1,59005
Saakow,2016,1,112221
Sablaale,2016,1,61673
Sheikh,2016,1,79475
Taleex,2016,1,78511
Tayeeglow,2016,1,96063
Waajid,2016,1,92744
Wanla Weyn,2016,1,219104
Xarardheere,2016,1,84696
Xudun,2016,1,66847
Xudur,2016,1,124383
Zeylac,2016,1,63097
Adan Yabaal,2016,2,81867
Afgooye,2016,2,406809
Afmadow,2016,2,162818
Baardheere,2016,2,158998
Badhaadhe,2016,2,75104
Baki,2016,2,65555
Balcad,2016,2,194746
Banadir,2016,2,1743894
Bandarbeyla,2016,2,30640
Baraawe,2016,2,87299
Baydhaba,2016,2,408723
Belet Weyne,2016,2,263894
Belet Xaawo,2016,2,85961
Berbera,2016,2,151882
Borama,2016,2,700445
Bossaso,2016,2,390143
Bu'aale,2016,2,96104
Bulo Burto,2016,2,160295
Burco,2016,2,441019
Burtinle,2016,2,82443
Buuhoodle,2016,2,66245
Buur Hakaba,2016,2,154048
Cabudwaaq,2016,2,93884
Cadaado,2016,2,87803
Cadale,2016,2,71771
Caluula,2016,2,50103
Caynabo,2016,2,74824
Ceel Afweyn,2016,2,88209
Ceel Barde,2016,2,56158
Ceel Buur,2016,2,103645
Ceel Dheer,2016,2,104133
Ceel Waaq,2016,2,49838
Ceerigaabo,2016,2,212590
Dhuusamarreeb,2016,2,130231
Diinsoor,2016,2,142055
Doolow,2016,2,53899
Eyl,2016,2,80315
Gaalkacyo,2016,2,394376
Galdogob,2016,2,162572
Garbahaarey,2016,2,120131
Garoowe,2016,2,191014
Gebiley,2016,2,137465
Hargeysa,2016,2,1049543
Hobyo,2016,2,97756
Iskushuban,2016,2,75296
Jalalaqsi,2016,2,89062
Jamaame,2016,2,156173
Jariiban,2016,2,94380
Jilib,2016,2,157382
Jowhar,2016,2,310752
Kismaayo,2016,2,189438
Kurtunwaarey,2016,2,208799
Laas Caanood,2016,2,157190
Laasqoray,2016,2,195590
Lughaye,2016,2,70469
Luuq,2016,2,90995
Marka,2016,2,369841
Owdweyne,2016,2,89795
Qandala,2016,2,138618
Qansax Dheere,2016,2,118176
Qardho,2016,2,168910
Qoryooley,2016,2,272362
Rab Dhuure,2016,2,59093
Saakow,2016,2,112589
Sablaale,2016,2,61774
Sheikh,2016,2,79605
Taleex,2016,2,78637
Tayeeglow,2016,2,96225
Waajid,2016,2,92886
Wanla Weyn,2016,2,219462
Xarardheere,2016,2,84799
Xudun,2016,2,66947
Xudur,2016,2,124585
Zeylac,2016,2,63200
Adan Yabaal,2016,3,81999
Afgooye,2016,3,406916
Afmadow,2016,3,163099
Baardheere,2016,3,159166
Badhaadhe,2016,3,75225
Baki,2016,3,65640
Balcad,2016,3,195524
Banadir,2016,3,1750402
Bandarbeyla,2016,3,30657
Baraawe,2016,3,87444
Baydhaba,2016,3,409725
Belet Weyne,2016,3,264248
Belet Xaawo,2016,3,86103
Berbera,2016,3,152145
Borama,2016,3,701649
Bossaso,2016,3,390930
Bu'aale,2016,3,96159
Bulo Burto,2016,3,160554
Burco,2016,3,441728
Burtinle,2016,3,82573
Buuhoodle,2016,3,66353
Buur Hakaba,2016,3,154290
Cabudwaaq,2016,3,94027
Cadaado,2016,3,87762
Cadale,2016,3,72081
Caluula,2016,3,50180
Caynabo,2016,3,74938
Ceel Afweyn,2016,3,88347
Ceel Barde,2016,3,56388
Ceel Buur,2016,3,103800
Ceel Dheer,2016,3,104296
Ceel Waaq,2016,3,49908
Ceerigaabo,2016,3,212870
Dhuusamarreeb,2016,3,130427
Diinsoor,2016,3,142123
Doolow,2016,3,54079
Eyl,2016,3,80433
Gaalkacyo,2016,3,396177
Galdogob,2016,3,162837
Garbahaarey,2016,3,120312
Garoowe,2016,3,191305
Gebiley,2016,3,137707
Hargeysa,2016,3,1051604
Hobyo,2016,3,97386
Iskushuban,2016,3,75415
Jalalaqsi,2016,3,89197
Jamaame,2016,3,156424
Jariiban,2016,3,94534
Jilib,2016,3,157780
Jowhar,2016,3,310880
Kismaayo,2016,3,196614
Kurtunwaarey,2016,3,209116
Laas Caanood,2016,3,157657
Laasqoray,2016,3,195871
Lughaye,2016,3,70541
Luuq,2016,3,91172
Marka,2016,3,367578
Owdweyne,2016,3,89927
Qandala,2016,3,138838
Qansax Dheere,2016,3,118312
Qardho,2016,3,169293
Qoryooley,2016,3,273841
Rab Dhuure,2016,3,59684
Saakow,2016,3,112967
Sablaale,2016,3,61862
Sheikh,2016,3,79721
Taleex,2016,3,78705
Tayeeglow,2016,3,96390
Waajid,2016,3,92959
Wanla Weyn,2016,3,219820
Xarardheere,2016,3,84796
Xudun,2016,3,66978
Xudur,2016,3,124791
Zeylac,2016,3,63292
Adan Yabaal,2016,4,82130
Afgooye,2016,4,407389
Afmadow,2016,4,163338
Baardheere,2016,4,159284
Badhaadhe,2016,4,75347
Baki,2016,4,65734
Balcad,2016,4,195825
Banadir,2016,4,1767402
Bandarbeyla,2016,4,30680
Baraawe,2016,4,87589
Baydhaba,2016,4,410836
Belet Weyne,2016,4,264645
Belet Xaawo,2016,4,86351
Berbera,2016,4,152363
Borama,2016,4,702913
Bossaso,2016,4,391636
Bu'aale,2016,4,96206
Bulo Burto,2016,4,160773
Burco,2016,4,442438
Burtinle,2016,4,82705
Buuhoodle,2016,4,66455
Buur Hakaba,2016,4,154474
Cabudwaaq,2016,4,94174
Cadaado,2016,4,87890
Cadale,2016,4,72194
Caluula,2016,4,50254
Caynabo,2016,4,75056
Ceel Afweyn,2016,4,88481
Ceel Barde,2016,4,56211
Ceel Buur,2016,4,103948
Ceel Dheer,2016,4,104461
Ceel Waaq,2016,4,49982
Ceerigaabo,2016,4,213186
Dhuusamarreeb,2016,4,130621
Diinsoor,2016,4,142148
Doolow,2016,4,54165
Eyl,2016,4,80556
Gaalkacyo,2016,4,397338
Galdogob,2016,4,163101
Garbahaarey,2016,4,120495
Garoowe,2016,4,191591
Gebiley,2016,4,137927
Hargeysa,2016,4,1053580
Hobyo,2016,4,97135
Iskushuban,2016,4,75525
Jalalaqsi,2016,4,89327
Jamaame,2016,4,156681
Jariiban,2016,4,94688
Jilib,2016,4,158232
Jowhar,2016,4,311086
Kismaayo,2016,4,202406
Kurtunwaarey,2016,4,209457
Laas Caanood,2016,4,158122
Laasqoray,2016,4,196143
Lughaye,2016,4,70630
Luuq,2016,4,91326
Marka,2016,4,359975
Owdweyne,2016,4,90065
Qandala,2016,4,139051
Qansax Dheere,2016,4,118456
Qardho,2016,4,169375
Qoryooley,2016,4,273918
Rab Dhuure,2016,4,59669
Saakow,2016,4,113422
Sablaale,2016,4,61952
Sheikh,2016,4,79825
Taleex,2016,4,78769
Tayeeglow,2016,4,96544
Waajid,2016,4,93114
Wanla Weyn,2016,4,220180
Xarardheere,2016,4,84831
Xudun,2016,4,66986
Xudur,2016,4,125092
Zeylac,2016,4,63375
Adan Yabaal,2016,5,86893
Afgooye,2016,5,408292
Afmadow,2016,5,163619
Baardheere,2016,5,159481
Badhaadhe,2016,5,75471
Baki,2016,5,65842
Balcad,2016,5,196123
Banadir,2016,5,1773040
Bandarbeyla,2016,5,30729
Baraawe,2016,5,87755
Baydhaba,2016,5,411859
Belet Weyne,2016,5,264910
Belet Xaawo,2016,5,86351
Berbera,2016,5,152613
Borama,2016,5,704151
Bossaso,2016,5,392293
Bu'aale,2016,5,96311
Bulo Burto,2016,5,160989
Burco,2016,5,443158
Burtinle,2016,5,82834
Buuhoodle,2016,5,66558
Buur Hakaba,2016,5,154668
Cabudwaaq,2016,5,94318
Cadaado,2016,5,88019
Cadale,2016,5,72309
Caluula,2016,5,50333
Caynabo,2016,5,75142
Ceel Afweyn,2016,5,88619
Ceel Barde,2016,5,56063
Ceel Buur,2016,5,104104
Ceel Dheer,2016,5,104617
Ceel Waaq,2016,5,50056
Ceerigaabo,2016,5,213500
Dhuusamarreeb,2016,5,130988
Diinsoor,2016,5,142248
Doolow,2016,5,54247
Eyl,2016,5,80688
Gaalkacyo,2016,5,398216
Galdogob,2016,5,163366
Garbahaarey,2016,5,120685
Garoowe,2016,5,191796
Gebiley,2016,5,138150
Hargeysa,2016,5,1055601
Hobyo,2016,5,97323
Iskushuban,2016,5,75641
Jalalaqsi,2016,5,89434
